Goal,Meal Type,Name,Calories,ProteinContent,CarbohydrateContent,FatContent,Ingredients,Cuisine
Muscle Gain,Breakfast,Foul with Eggs and Tomato,460,26,38,18,"fava beans, eggs, tomato, cumin",Egyptian
Fat Loss,Breakfast,Labneh with Cucumber and Dill,260,18,10,14,"labneh, cucumber, dill, olive oil",Levantine
Maintenance,Breakfast,Manakish with Thyme and Olive Oil,380,12,46,16,"dough, zaatar, olive oil",Levantine
Endurance,Breakfast,Arabic Coffee with Dates and Oats,410,10,64,10,"oats, dates, arabic coffee, milk",Gulf
Muscle Gain,Breakfast,Chicken Liver and Egg Scramble,530,34,14,32,"chicken livers, eggs, onions, spices",Egyptian
Fat Loss,Breakfast,Chia Pudding with Rose Water,280,10,24,14,"chia seeds, rose water, milk, pistachios",Fusion
Maintenance,Breakfast,Cheese Rolls with Sesame,420,18,38,20,"phyllo dough, akkawi cheese, sesame",Levantine
Muscle Gain,Lunch,Roasted Lamb Shoulder with Potatoes,850,58,42,48,"lamb shoulder, potatoes, garlic, rosemary",Levantine
Fat Loss,Lunch,Chicken Tawook Salad Bowl,470,44,16,22,"chicken tawook, lettuce, tomato, garlic sauce",Levantine
Maintenance,Lunch,Spinach and Feta Pie with Rice,610,24,58,26,"phyllo, spinach, feta, rice",Mediterranean
Endurance,Lunch,Shorbat Hareera with Dates,590,28,68,16,"lentils, chickpeas, lamb, dates, flour",Moroccan
Muscle Gain,Lunch,Grilled Camel Burger with Sweet Potato Fries,790,58,58,36,"camel meat, burger bun, sweet potato",Gulf
Fat Loss,Lunch,Chicken and Zucchini Noodles with Pesto,430,38,12,22,"chicken, zucchini, basil pesto",Fusion
Maintenance,Lunch,Artichoke Stew with Peas and Rice,540,20,62,18,"artichokes, peas, rice, dill",Egyptian
Muscle Gain,Lunch,Beef Shawarma Stuffed Peppers,650,44,38,32,"beef shawarma, bell peppers, cheese",Fusion
Fat Loss,Lunch,Garlic and Lemon Shrimp with Cauliflower Rice,420,40,12,20,"shrimp, cauliflower, garlic, lemon",Mediterranean
Maintenance,Lunch,Pumpkin Kibbeh with Yogurt,500,18,48,22,"pumpkin, bulgur, onions, yogurt",Levantine
Endurance,Lunch,Chicken and Chickpea Tagine with Quinoa,640,38,70,16,"chicken, chickpeas, quinoa, apricots",Moroccan
Muscle Gain,Lunch,Beef Tongue Stew with Rice,720,52,44,34,"beef tongue, rice, onions, tomato sauce",Egyptian
Fat Loss,Lunch,Grilled Squid with Lemon and Parsley,380,36,8,18,"squid, lemon, parsley, olive oil",Mediterranean
Maintenance,Lunch,Stuffed Cabbage with Lentils and Rice,520,22,68,12,"cabbage leaves, lentils, rice, tomato",Levantine
Muscle Gain,Dinner,Lamb Kofta with Grilled Peppers,630,46,18,38,"lamb kofta, bell peppers, onions, spices",Middle Eastern
Fat Loss,Dinner,Shrimp and Okra Stew Light,400,34,16,18,"shrimp, okra, tomato sauce, garlic",Egyptian
Maintenance,Dinner,Green Wheat (Freekeh) with Mushrooms,480,18,60,16,"freekeh, mushrooms, onions, vegetable broth",Levantine
Endurance,Dinner,Chicken Soup with Vermicelli and Lemon,390,28,34,10,"chicken, vermicelli, lemon, parsley",Middle Eastern
Muscle Gain,Dinner,Grilled Beef Heart with Sumac Onions,580,50,12,32,"beef heart, sumac, onions, olive oil",Levantine
Fat Loss,Dinner,Cod Fish Tagine with Vegetables,430,42,14,18,"cod, bell peppers, tomatoes, olives",Moroccan
Maintenance,Dinner,Potato and Eggplant Moussaka,540,16,46,28,"eggplant, potatoes, tomato sauce",Levantine
Muscle Gain,Dinner,Chicken Shawarma Stuffed Zucchini,610,48,26,32,"chicken shawarma, zucchini, cheese",Fusion
Endurance,Dinner,Lentil and Pumpkin Soup with Croutons,470,22,58,12,"red lentils, pumpkin, croutons, cumin",Middle Eastern
Fat Loss,Dinner,Turkey and Cabbage Stir Fry,340,38,12,14,"turkey mince, cabbage, ginger, soy sauce",Fusion
Maintenance,Dinner,Barley and Mushroom Pilaf,490,14,72,14,"barley, mushrooms, onions, vegetable broth",Middle Eastern
Muscle Gain,Dinner,Lamb Brain Scramble with Eggs,550,36,8,38,"lamb brain, eggs, spices, butter",Egyptian
Fat Loss,Dinner,Roasted Cauliflower with Tahini Sauce,310,12,18,20,"cauliflower, tahini, lemon, garlic",Levantine
Maintenance,Dinner,Falafel Crumbled Salad with Yogurt,480,18,34,24,"falafel, lettuce, tomato, yogurt sauce",Levantine
Muscle Gain,Breakfast,Akkawi Cheese Omelette with Olives,500,28,12,36,"eggs, akkawi cheese, olives, olive oil",Levantine
Fat Loss,Breakfast,Protein Smoothie with Laban,260,24,20,8,"protein powder, laban (buttermilk), banana",Fusion
Maintenance,Breakfast,Date Syrup Pancakes,430,10,64,14,"flour, date syrup, eggs, milk",Levantine
Endurance,Breakfast,Freekeh Porridge with Nuts,480,16,70,14,"freekeh, milk, walnuts, honey",Levantine
Muscle Gain,Lunch,Chicken Molokhia with Brown Rice,670,46,56,28,"molokhia, chicken, brown rice, garlic",Egyptian
Fat Loss,Lunch,Beef Kofta with Zucchini Noodles,480,42,12,26,"beef kofta, zucchini, tomato sauce",Fusion
Maintenance,Lunch,Sayadiya Rice with Caramelized Onions,580,22,74,16,"fish stock, rice, onions, spices",Levantine
Endurance,Lunch,Couscous with Chickpeas and Raisins,620,18,84,16,"couscous, chickpeas, raisins, carrots",North African
Muscle Gain,Dinner,Grilled Lamb T-bone Steak,740,52,4,52,"lamb T-bone, rosemary, garlic, olive oil",Mediterranean
Fat Loss,Dinner,Chicken Breast Stuffed with Spinach and Feta,410,46,8,20,"chicken breast, spinach, feta cheese",Mediterranean
Maintenance,Dinner,Baked Falafel with Quinoa Tabbouleh,530,22,56,22,"baked falafel, quinoa, parsley, tomato",Levantine
Endurance,Dinner,Seafood Soup with Saffron,480,34,26,18,"shrimp, squid, fish, saffron, broth",Mediterranean
Muscle Gain,Snack,Hard Boiled Eggs with Turmeric,140,12,1,9,"eggs, turmeric, black pepper",Middle Eastern
Fat Loss,Snack,Stuffed Grape Leaves (Vegetarian),110,2,14,6,"grape leaves, rice, herbs, olive oil",Levantine
Maintenance,Snack,Pistachio and Cardamom Bites,200,6,18,12,"pistachios, cardamom, honey, egg white",Gulf
Endurance,Snack,Carob Molasses with Tahini,180,4,22,10,"carob molasses, tahini",Levantine
Muscle Gain,Dessert,Ashta with Honey and Berries,350,12,28,20,"ashta cream, honey, mixed berries",Levantine
Fat Loss,Dessert,Roasted Peaches with Labneh,160,5,20,6,"peaches, labneh, cinnamon, honey",Mediterranean
Maintenance,Dessert,Eish El Saraya (Bread Pudding),490,8,70,18,"bread, cream, honey, pistachios",Egyptian
Endurance,Dessert,Apricot and Almond Stuffed Dates,230,5,38,8,"dried apricots, almonds, dates",Middle Eastern
Maintenance,Breakfast,Foul Syrians (Foul m7ammas with tahini),440,20,46,18,"fava beans, tahini, lemon, garlic, cumin",Syrian
Muscle Gain,Breakfast,Beid awrama (Eggs with tomato and pepper),350,22,14,20,"eggs, tomato, bell pepper, olive oil",Syrian
Fat Loss,Breakfast,Jamid and Laban (Yogurt soup with rice),310,18,28,12,"yogurt, rice, mint, garlic",Syrian
Maintenance,Breakfast,Ka'ak with halloumi and nigella seeds,480,18,52,20,"ka'ak bread, halloumi, nigella seeds",Syrian
Endurance,Breakfast,Qatayef asafiri (Mini qatayef with cream),520,12,68,22,"qatayef dough, ashta cream, syrup",Syrian
Muscle Gain,Lunch,Kibbeh bil saniyeh (Tray kibbeh with lamb),760,42,58,36,"bulgur, minced lamb, onions, pine nuts",Syrian
Fat Loss,Lunch,Kibbeh Labaniyeh (Kibbeh in yogurt stew),590,34,48,28,"kibbeh, yogurt, mint, garlic, rice",Syrian
Maintenance,Lunch,Yakhnet el bamieh (Okra stew with lamb),620,32,38,34,"okra, lamb, tomato sauce, coriander",Syrian
Muscle Gain,Lunch,Kibbeh arnabiyeh (Kibbeh with pumpkin and pomegranate),720,38,64,32,"kibbeh, pumpkin, pomegranate molasses, spices",Syrian
Fat Loss,Lunch,Sheikh el mahshi (Stuffed eggplant with meat and pine nuts),540,36,28,28,"eggplant, minced meat, pine nuts, tomato",Syrian
Maintenance,Lunch,Mahshi kousa (Stuffed zucchini with rice and meat),610,28,60,22,"zucchini, rice, minced meat, tomato sauce",Syrian
Endurance,Lunch,Waraq einab (Stuffed grape leaves with lamb),650,30,64,28,"grape leaves, rice, lamb, olive oil, mint",Syrian
Muscle Gain,Lunch,Shish barak (Dumplings in yogurt sauce),690,38,54,34,"dough, minced meat, yogurt, mint, garlic",Syrian
Fat Loss,Lunch,Samak makli with tarator sauce,510,44,16,28,"fried fish, tahini sauce, lemon, garlic",Syrian
Maintenance,Lunch,Fattet makdous (Stuffed eggplant fatteh),580,22,50,28,"makdous, bread, yogurt, tahini",Syrian
Muscle Gain,Lunch,Sheikh mahshi batenjan (Large stuffed eggplant),740,40,52,38,"eggplant, meat, rice, tomato sauce",Syrian
Endurance,Lunch,Jazar mahshi (Stuffed carrots with rice and meat),600,28,64,22,"carrots, rice, minced meat, tomato",Syrian
Fat Loss,Lunch,Battenjan m'tawwal (Grilled eggplant with tahini),430,14,28,28,"eggplant, tahini, garlic, lemon",Syrian
Maintenance,Lunch,Fasolia bayda (White beans stew with lamb),560,30,48,24,"white beans, lamb, tomato sauce, garlic",Syrian
Muscle Gain,Lunch,Kibbeh naye (Raw kibbeh with lamb and bulgur),680,42,32,40,"raw lamb, bulgur, spices, olive oil",Syrian
Fat Loss,Dinner,Fattoush salad with grilled chicken,450,38,28,20,"lettuce, cucumber, tomato, pita, sumac, chicken",Syrian
Maintenance,Dinner,Salatet el raheb (Monk's salad),280,8,24,16,"lettuce, cucumber, tomato, onion, pomegranate molasses",Syrian
Endurance,Dinner,Mtabbal (Smoked eggplant dip),310,6,18,24,"eggplant, tahini, yogurt, garlic, lemon",Syrian
Muscle Gain,Dinner,Hindbeh (Dandelion greens with onion and olive oil),370,10,22,26,"dandelion greens, onions, olive oil, lemon",Syrian
Fat Loss,Dinner,Burghul bi banadoura (Bulgur with tomatoes),340,12,48,12,"bulgur, tomato, onion, olive oil",Syrian
Maintenance,Dinner,Rice with lentils and caramelized onions (Mujaddara),520,18,72,16,"rice, lentils, onions, olive oil",Syrian
Muscle Gain,Dinner,Chicken musakhan (Sumac chicken with onions),660,44,58,30,"chicken, sumac, onions, taboon bread",Syrian
Endurance,Dinner,Samakeh harrah (Spicy fish with cilantro and garlic),540,46,14,30,"white fish, cilantro, garlic, chili, spices",Syrian
Fat Loss,Dinner,Sayyadiet samak (Fish rice with tahini),490,38,48,18,"fish, rice, tahini, onions, spices",Syrian
Maintenance,Dinner,Kafta bil tahini (Meatballs in tahini sauce),630,34,26,40,"minced meat, tahini, potatoes, pine nuts",Syrian
Muscle Gain,Dinner,Kibbeh meshwiyeh (Grilled kibbeh),580,36,32,32,"bulgur, minced meat, walnuts, spices",Syrian
Fat Loss,Snack,Jazaraj (Carrot and pistachio dessert - light),220,4,38,6,"carrots, pistachios, orange blossom water",Syrian
Maintenance,Snack,Helwet el jibn (Cheese rolls with semolina),350,10,48,14,"mozzarella, semolina, sugar, rose water",Syrian
Endurance,Snack,Awamat (Syrian doughnuts - baked version),280,6,44,10,"dough, sugar syrup, saffron, rose water",Syrian
Muscle Gain,Breakfast,Labneh makbouse (Strained yogurt with thyme),400,20,24,24,"labneh, zaatar, olive oil, bread",Syrian
Fat Loss,Breakfast,Egg with awarma and bread,380,26,14,24,"eggs, awarma (preserved meat), bread",Syrian
Maintenance,Breakfast,Ka'ak bel jibn (Cheese ka'ak),450,18,50,18,"ka'ak bread, akkawi cheese, nigella seeds",Syrian
Muscle Gain,Lunch,Bamieh bzeit (Okra with olive oil and meat),680,34,28,44,"okra, lamb, olive oil, coriander, garlic",Syrian
Fat Loss,Lunch,Kousa bil laban (Zucchini in yogurt sauce),500,24,32,28,"zucchini, yogurt, mint, garlic, rice",Syrian
Maintenance,Lunch,Flayfeleh (Bell peppers stuffed with rice and meat),590,30,56,24,"bell peppers, rice, minced meat, tomato",Syrian
Muscle Gain,Lunch,Mahshi malfouf (Stuffed cabbage rolls),640,32,56,28,"cabbage, rice, meat, tomato, garlic",Syrian
Endurance,Lunch,Ruz mufalfal (Spiced rice with chicken and nuts),680,38,74,22,"rice, chicken, nuts, cinnamon, cardamom",Syrian
Fat Loss,Dinner,Battenjan mkhalay (Eggplant with chickpeas and tomato),400,14,34,22,"eggplant, chickpeas, tomato, garlic",Syrian
Maintenance,Dinner,Foul m7ammas with tahini and egg,480,26,34,24,"fava beans, tahini, egg, garlic, lemon",Syrian
Muscle Gain,Dinner,Kibbeh maqliyeh (Fried kibbeh with yogurt),620,34,44,34,"kibbeh, yogurt, mint, garlic",Syrian
Fat Loss,Snack,Makdous (Stuffed baby eggplant),190,4,12,14,"baby eggplant, walnuts, red pepper, garlic, olive oil",Syrian
Maintenance,Snack,Sfiha bil laban (Meat pies with yogurt),360,20,28,18,"dough, minced meat, pine nuts, yogurt",Syrian
Endurance,Breakfast,Qawarma bi beid (Eggs with preserved meat),440,28,12,30,"eggs, awarma (preserved meat), butter",Syrian
Muscle Gain,Lunch,Mujaddara hamra (Red lentil mujaddara),610,28,76,18,"red lentils, rice, caramelized onions",Syrian
Fat Loss,Lunch,Burghul bi lahme (Bulgur with meat and chickpeas),550,34,54,22,"bulgur, minced meat, chickpeas, tomato",Syrian
Maintenance,Dinner,Salatet fattoush (Classic fattoush),290,6,32,16,"lettuce, cucumber, tomato, radish, pita, sumac",Syrian
Muscle Gain,Dinner,Halabi kebabs (Aleppo style kebabs),690,48,28,38,"minced meat, parsley, onions, walnuts, pomegranate molasses",Syrian
Endurance,Lunch,Sheikh al-mehshi (Stuffed eggplant with meat and rice),710,38,58,34,"eggplant, meat, rice, tomato, pine nuts",Syrian
Fat Loss,Lunch,Mloukhiyeh bzeit (Jew's mallow with olive oil),490,28,36,26,"jew's mallow, chicken, garlic, coriander, olive oil",Syrian
Maintenance,Breakfast,Khobbeizeh bi laban (Mallow with yogurt),380,20,28,20,"mallow leaves, yogurt, garlic, rice",Syrian
Muscle Gain,Dinner,Kibbeh karaz (Kibbeh with cherry sauce),650,36,62,28,"kibbeh, sour cherries, pomegranate molasses, sugar",Syrian
Fat Loss,Snack,Jawziyeh (Walnut and date rolls),210,6,28,10,"walnuts, dates, orange blossom water",Syrian
Endurance,Dinner,Samak bil tahini (Fish with tahini sauce),540,48,16,30,"white fish, tahini, lemon, garlic, pine nuts",Syrian
Maintenance,Lunch,Kousa b'jibn (Zucchini with cheese),560,24,38,30,"zucchini, akkawi cheese, milk, butter",Syrian
Muscle Gain,Breakfast,Foul shami (Damascus style fava beans),460,22,42,20,"fava beans, chickpeas, tahini, lemon, cumin",Syrian
Fat Loss,Dinner,Salatet jazar (Carrot salad with yogurt and garlic),210,6,18,12,"carrots, yogurt, garlic, walnuts",Syrian
Maintenance,Snack,Maakaroon bil jibn (Pasta with cheese - Syrian style),430,16,50,18,"pasta, akkawi cheese, milk, butter",Syrian
Muscle Gain,Lunch,Mansaf shami (Syrian mansaf with lamb and yogurt),780,46,66,38,"lamb, rice, jameed yogurt, almonds",Syrian
Endurance,Breakfast,Laban awarma (Yogurt with preserved meat),430,28,18,26,"yogurt, awarma, mint, garlic",Syrian
Fat Loss,Lunch,Kousa b'zeit (Zucchini with olive oil  no meat),390,8,32,24,"zucchini, olive oil, tomato, garlic",Syrian
Maintenance,Dinner,Fattet baingan (Eggplant fatteh),520,18,48,28,"eggplant, bread, yogurt, tahini, garlic",Syrian
Muscle Gain,Snack,Kibbeh saniyeh bites (Mini tray kibbeh),310,20,26,16,"bulgur, minced meat, onions, spices",Syrian
